Nome,Matrícula,Ranking,Curso
Joao,182815,40,Matematica
Luis,904824,64,Quimica
Lucia,390586,69,Matematica
Amanda,251441,15,Fisica
Marcos,227121,32,Computacao
Ana,389825,59,Administracao
Julia,373290,51,Odontologia
Flora,346351,74,Computacao
Julia,965780,86,Medicina
Lara,221875,34,Administracao
Maria,212588,64,Engenharia
Lucas,360937,53,Medicina
Clara,781248,46,Computacao
Luis,634207,48,Engenharia
Marcia,563539,71,Letras
Luis,997378,66,Letras
Luis,450080,91,Engenharia
Marcia,276990,50,Engenharia
Ana,614163,84,Odontologia
Amanda,453310,33,Letras
Jose,135467,21,Direito
Rodrigo,600575,52,Medicina
Flora,812252,70,Letras
Luisa,939534,12,Quimica
Tiago,651241,71,Direito
Luisa,860884,100,Quimica
Marcos,914544,59,Matematica
Maria,922852,76,Administracao
Zeca,645093,71,Direito
Julia,267610,28,Odontologia
Luis,747265,84,Matematica
Lucas,942431,27,Matematica
Joao,515305,57,Computacao
Luis,419194,14,Administracao
Luis,424509,33,Direito
Joao,189749,60,Letras
Lara,717184,15,Engenharia
Tiago,392744,38,Administracao
Amanda,905194,29,Matematica
Lucia,565810,73,Engenharia
Maria,882965,31,Medicina
Clara,397459,16,Computacao
Tiago,615370,11,Direito
Luis,819988,33,Computacao
Julia,325613,67,Quimica
Jose,221292,98,Direito
Lucia,744192,25,Odontologia
Luisa,508022,45,Administracao
Tiago,959768,41,Computacao
Amanda,101495,66,Computacao
Pedro,714605,32,Direito
Amanda,162937,28,Medicina
Ana,317443,73,Computacao
Clara,223183,56,Engenharia
Maria,571023,22,Administracao
Maria,383930,79,Engenharia
Pedro,139654,34,Computacao
Clara,685583,54,Computacao
Jose,591194,87,Administracao
Maria,786147,14,Medicina
Lara,691477,51,Computacao
Luisa,724119,77,Odontologia
Amanda,116240,85,Letras
Luis,604800,84,Medicina
Flora,765889,79,Fisica
Rodrigo,823387,21,Computacao
Amanda,734140,56,Matematica
Luisa,663223,82,Direito
Maria,701993,24,Quimica
Zeca,297012,90,Letras
Clara,155565,72,Administracao
Joao,614649,33,Odontologia
Ana,904337,15,Engenharia
Clara,917015,56,Computacao
Amanda,109279,92,Direito
Lucas,554449,95,Quimica
Pedro,167790,19,Fisica
Marcos,236966,72,Matematica
Amanda,735148,44,Engenharia
Marcia,310963,57,Letras
Luis,709401,78,Medicina
Maria,337655,74,Odontologia
Maria,756132,54,Administracao
Lucas,792344,53,Administracao
Clara,598414,61,Direito
Flora,422463,25,Fisica
Lara,348627,77,Odontologia
Lucas,657713,38,Engenharia
Clara,120524,53,Odontologia
Ana,284420,67,Engenharia
Lucia,947625,23,Quimica
Marcos,371769,49,Matematica
Marcos,985479,24,Computacao
Maria,641695,23,Computacao
Pedro,820346,27,Medicina
Lucia,160952,73,Quimica
Amanda,803895,75,Computacao
Pedro,316943,38,Letras
Tiago,140452,31,Fisica
Zeca,496658,88,Computacao
Luis,765172,15,Computacao
Pedro,472277,27,Quimica
Jose,857526,12,Direito
Rodrigo,901571,45,Quimica
Jose,898730,37,Direito
Pedro,651960,84,Quimica
Julia,938613,66,Fisica
Joao,996983,19,Matematica
Celia,572245,55,Letras
Flora,286278,81,Engenharia
Joao,449417,74,Medicina
Jose,657201,41,Fisica
Flora,955941,92,Direito
Marcia,751011,80,Quimica
Marcia,423900,69,Matematica
Lucas,429611,41,Odontologia
Amanda,177649,10,Medicina
Julia,633403,37,Engenharia
Lucia,984320,61,Quimica
Marcos,425462,29,Fisica
Maria,186053,96,Direito
Jose,603547,48,Direito
Celia,986445,29,Fisica
Marcia,293549,32,Odontologia
Lara,678517,50,Fisica
Lara,987852,17,Medicina
Julia,510336,37,Quimica
Julia,331879,81,Engenharia
Maria,771290,98,Matematica
Lucas,837028,24,Medicina
Ana,325415,25,Matematica
Lucas,147691,87,Letras
Tiago,867893,33,Letras
Lucia,289423,95,Administracao
Tiago,553293,25,Direito
Clara,354714,97,Engenharia
Maria,848286,58,Quimica
Rodrigo,347579,97,Odontologia
Luis,912945,33,Fisica
Joao,957622,13,Letras
Pedro,850548,64,Engenharia
Zeca,528912,96,Odontologia
Joao,112753,64,Administracao
Jose,696340,25,Quimica
Lara,635001,87,Matematica
Rodrigo,686740,86,Fisica
Amanda,439100,38,Engenharia
Rodrigo,718522,49,Medicina
Marcia,857969,77,Odontologia
Jose,327969,86,Medicina
Tiago,214209,23,Odontologia
Lucas,255566,38,Medicina
Luis,927914,68,Matematica
Ana,919872,91,Fisica
Maria,568334,42,Letras
Flora,931821,22,Direito
Clara,243316,17,Engenharia
Joao,358929,19,Letras
Jose,209368,99,Letras
Julia,522170,17,Medicina
Luisa,100339,28,Computacao
Lucas,830256,53,Direito
Lara,708865,37,Administracao
Tiago,179216,59,Medicina
Ana,208377,67,Odontologia
Luis,721865,19,Fisica
Lucas,705898,80,Engenharia
Ana,524735,68,Odontologia
Clara,702710,24,Administracao
Celia,697777,74,Administracao
Joao,925929,61,Administracao
Luisa,137632,45,Computacao
Luis,503751,60,Quimica
Amanda,887060,99,Fisica
Rodrigo,113360,69,Quimica
Zeca,123178,58,Direito
Marcos,255104,70,Quimica
Lucia,143973,51,Matematica
Flora,197185,52,Odontologia
Zeca,864274,20,Matematica
Jose,186200,84,Administracao
Pedro,787808,81,Matematica
Ana,468909,69,Administracao
Amanda,289547,95,Direito
Ana,883670,59,Medicina
Lucia,460819,62,Computacao
Joao,930679,11,Quimica
Luisa,384824,12,Quimica
Lara,815003,60,Letras
Jose,225668,49,Matematica
Marcos,586251,50,Engenharia
Julia,604665,91,Direito
Joao,688198,28,Administracao
Julia,866392,15,Medicina
Joao,219128,33,Fisica
Rodrigo,475726,96,Administracao
Celia,660961,79,Letras
Flora,367229,87,Quimica
Jose,286065,78,Engenharia
Maria,569523,78,Quimica
Tiago,160397,83,Odontologia
Marcia,541009,28,Engenharia
Ana,323396,94,Computacao
Lucia,466102,74,Odontologia
Ana,451854,69,Administracao
Tiago,338332,65,Administracao
Joao,412441,45,Medicina
Amanda,279302,57,Quimica
Clara,867289,23,Engenharia
Ana,445934,92,Engenharia
Zeca,482441,64,Direito
Joao,610664,90,Quimica
Lucas,477551,59,Matematica
Luisa,674100,40,Administracao
Clara,271433,10,Matematica
Amanda,587050,43,Medicina
Jose,907172,40,Fisica
Ana,927052,92,Fisica
Rodrigo,470544,77,Administracao
Celia,624445,51,Medicina
Maria,385523,89,Computacao
Celia,570055,85,Letras
Marcia,375526,80,Engenharia
Lucas,892843,21,Medicina
Maria,572355,60,Computacao
Marcos,829197,60,Odontologia
Joao,832469,92,Direito
Ana,646305,84,Computacao
Clara,969397,54,Quimica
Luisa,475750,46,Fisica
Jose,551969,89,Engenharia
Marcia,559379,13,Odontologia
Celia,439026,73,Engenharia
Pedro,358185,19,Computacao
Lucas,152484,14,Computacao
Maria,399637,73,Odontologia
Lara,825691,87,Direito
Lucia,598391,36,Administracao
Marcia,938948,42,Odontologia
Lucia,915350,22,Administracao
Luis,150378,58,Fisica
Lucas,259142,82,Medicina
Luisa,492615,80,Medicina
Maria,856471,90,Direito
Clara,157589,24,Letras
Jose,626515,31,Matematica
Lucas,104698,60,Direito
Joao,191417,47,Administracao
Ana,611617,40,Letras
Luisa,792551,93,Medicina
Joao,221554,22,Direito
Luis,787737,57,Medicina
Lara,763315,13,Direito
Lucia,404624,16,Odontologia
Lara,758637,29,Medicina
Joao,232140,40,Matematica
Luis,281787,78,Direito
Luisa,233128,86,Odontologia
Clara,595278,56,Computacao
Luisa,459967,88,Computacao
Julia,441833,57,Direito
Amanda,762348,89,Medicina
Rodrigo,198211,69,Medicina
Flora,470487,70,Engenharia
Ana,366146,61,Engenharia
Flora,908272,61,Engenharia
Amanda,525597,97,Matematica
Amanda,630667,46,Engenharia
Marcos,339133,37,Medicina
Zeca,836378,34,Administracao
Tiago,218729,89,Computacao
Pedro,140145,79,Administracao
Celia,318272,96,Quimica
Lara,590699,94,Letras
Jose,723919,33,Administracao
Rodrigo,568294,62,Letras
Lucas,460294,16,Matematica
Lucas,804079,11,Administracao
Lara,385660,18,Direito
Marcia,537900,35,Odontologia
Clara,985769,24,Odontologia
Joao,100086,73,Matematica
Joao,242429,55,Direito
Amanda,799116,82,Medicina
Marcos,270102,25,Quimica
Jose,956710,31,Direito
Joao,286167,80,Odontologia
Julia,851966,95,Matematica
Lara,115551,69,Odontologia
Lucas,874054,10,Matematica
Tiago,289694,92,Computacao
Tiago,558033,16,Odontologia
Julia,381800,67,Fisica
Tiago,602400,87,Computacao
Joao,270285,56,Engenharia
Lara,750435,97,Direito
Luisa,999200,92,Fisica
Amanda,148195,45,Quimica
Luisa,184385,80,Medicina
Amanda,501022,76,Medicina
Joao,462697,66,Engenharia
Pedro,275263,67,Quimica
Ana,822795,14,Computacao
Luis,362553,15,Odontologia
Celia,227956,92,Computacao
Marcos,177662,87,Odontologia
Maria,735422,93,Administracao
Jose,782929,45,Matematica
Amanda,608851,99,Letras
Pedro,890829,74,Administracao
Julia,348119,94,Matematica
Celia,552547,33,Engenharia
Amanda,851255,47,Direito
Luis,407402,79,Matematica
Lucas,224579,52,Medicina
Ana,449898,20,Medicina
Amanda,577835,89,Administracao
Rodrigo,402700,47,Matematica
Marcos,151656,58,Direito
Zeca,536929,32,Fisica
Lucas,161022,63,Letras
Rodrigo,857000,52,Odontologia
Lucia,136232,97,Direito
Tiago,184972,49,Engenharia
Amanda,534870,98,Odontologia
Ana,401419,27,Matematica
Zeca,819880,45,Letras
Luis,329076,18,Fisica
Luis,284484,47,Fisica
Celia,207393,26,Quimica
Julia,372535,70,Administracao
Flora,572862,64,Quimica
Marcia,440788,61,Matematica
Flora,297833,80,Quimica
Rodrigo,824528,31,Engenharia
Marcia,935190,11,Administracao
Maria,720584,49,Odontologia
Lucas,944095,74,Letras
Julia,239257,79,Odontologia
Julia,509519,39,Administracao
Celia,293116,25,Quimica
Clara,545485,30,Medicina
Luis,613210,30,Letras
Ana,393436,74,Direito
Rodrigo,115154,45,Matematica
Lucas,242719,61,Letras
Maria,109387,94,Fisica
Lucas,859404,52,Direito
Marcos,283371,88,Computacao
Marcia,759673,56,Direito
Tiago,311233,100,Direito
Luisa,550781,42,Engenharia
Clara,298119,96,Matematica
Clara,451741,66,Engenharia
Ana,490515,21,Letras
Tiago,283194,33,Quimica
Ana,109719,19,Quimica
Pedro,157844,95,Matematica
Flora,576180,31,Computacao
Ana,345722,18,Fisica
Zeca,611591,35,Engenharia
Clara,372326,99,Administracao
Celia,747859,64,Computacao
Maria,463971,15,Medicina
Joao,496142,67,Matematica
Lara,995844,74,Direito
Rodrigo,241428,27,Computacao
Ana,279703,86,Odontologia
Flora,211690,37,Odontologia
Maria,182863,44,Computacao
Zeca,261850,89,Engenharia
Tiago,404858,28,Administracao
Zeca,319793,31,Engenharia
Jose,267582,73,Engenharia
Pedro,706800,83,Medicina
Julia,311560,58,Administracao
Flora,349254,92,Odontologia
Tiago,378127,46,Computacao
Marcos,790848,94,Letras
Clara,998546,68,Administracao
Jose,325093,71,Fisica
Luis,662058,68,Quimica
Lucas,726830,31,Quimica
Jose,830518,88,Matematica
Celia,909387,71,Engenharia
Tiago,802557,75,Direito
Luisa,858709,31,Matematica
Maria,971260,66,Matematica
Luisa,485909,32,Direito
Celia,302251,50,Medicina
Flora,928175,86,Letras
Ana,315556,19,Engenharia
Lucia,742928,65,Medicina
Maria,384422,32,Direito
Jose,657194,50,Medicina
Julia,713451,81,Direito
Lucas,910659,50,Engenharia
Clara,642094,72,Quimica
Lara,450411,96,Quimica
Amanda,869223,59,Administracao
Joao,963239,66,Quimica
Clara,295462,30,Medicina
Marcia,794651,65,Quimica
Amanda,981230,89,Letras
Celia,833718,78,Letras
Ana,391865,75,Administracao
Lucas,114238,56,Letras
Clara,713629,76,Quimica
Celia,710542,94,Direito
Joao,604862,10,Direito
Marcia,118414,38,Administracao
Lara,689928,66,Administracao
Pedro,520759,61,Matematica
Marcos,547501,11,Matematica
Celia,762171,25,Odontologia
Lucia,870041,31,Quimica
Clara,237810,44,Engenharia
Celia,196123,72,Letras
Celia,574606,61,Medicina
Marcos,297486,16,Medicina
Luis,385604,95,Odontologia
Rodrigo,392574,97,Administracao
Tiago,920409,99,Direito
Marcos,955004,56,Engenharia
Zeca,758829,35,Odontologia
Lara,613725,70,Odontologia
Flora,783521,15,Direito
Clara,131245,83,Administracao
Clara,748642,95,Odontologia
Julia,878460,44,Fisica
Tiago,462355,74,Medicina
Pedro,314116,35,Administracao
Flora,519279,25,Fisica
Joao,538894,100,Letras
Tiago,410615,26,Odontologia
Julia,972334,93,Fisica
Luisa,682492,74,Engenharia
Jose,439593,11,Matematica
Pedro,244687,96,Odontologia
Lucas,685913,40,Odontologia
Ana,462604,16,Letras
Zeca,363952,91,Administracao
Marcos,382381,93,Engenharia
Maria,312918,90,Quimica
Ana,297412,41,Engenharia
Jose,368919,50,Odontologia
Jose,117968,85,Odontologia
Marcia,493412,51,Quimica
Marcia,825648,77,Direito
Marcia,515967,16,Quimica
Marcos,491189,36,Administracao
Pedro,367413,32,Letras
Jose,577035,80,Matematica
Marcia,140200,92,Administracao
Amanda,759148,70,Quimica
Lucia,731846,79,Computacao
Zeca,392490,37,Direito
Flora,291929,34,Administracao
Tiago,601715,79,Administracao
Joao,765158,24,Quimica
Luis,719464,85,Administracao
Ana,172207,34,Letras
Julia,390901,99,Matematica
Flora,556915,61,Direito
Flora,359492,38,Matematica
Amanda,212653,31,Odontologia
Flora,327423,87,Matematica
Maria,975539,25,Fisica
Julia,560287,66,Fisica
Joao,870772,24,Odontologia
Clara,154887,73,Engenharia
Lara,102507,78,Matematica
Rodrigo,952179,53,Letras
Tiago,240167,77,Direito
Tiago,806010,58,Medicina
Rodrigo,741364,54,Medicina
Marcia,892678,50,Matematica
Jose,662424,78,Computacao
Rodrigo,639350,48,Quimica
Joao,594862,99,Fisica
Zeca,788953,46,Direito
Celia,638154,76,Direito
Pedro,604062,10,Computacao
Ana,936128,50,Odontologia
Zeca,999535,45,Fisica
Maria,988256,61,Medicina
Celia,361207,78,Matematica
Maria,422053,29,Computacao
Maria,518275,93,Direito
Lucia,559114,80,Fisica
Marcos,726764,39,Administracao
Flora,492925,88,Odontologia
Rodrigo,680435,35,Odontologia
Amanda,563544,10,Administracao
Luis,569350,37,Odontologia
Marcos,702049,13,Quimica
Luis,362385,92,Computacao
Clara,863542,100,Medicina
Amanda,273041,32,Matematica
Pedro,135526,72,Medicina
Lara,208046,71,Matematica
Amanda,258656,63,Direito
Marcia,398921,38,Administracao
Celia,645435,62,Direito
Amanda,107048,30,Engenharia
Lucas,982641,70,Letras
Lucas,156191,47,Medicina
Lucas,624869,44,Computacao
Julia,346052,33,Matematica
Clara,599876,28,Fisica
Celia,296647,98,Direito
Zeca,512955,39,Letras
Luis,557290,68,Direito
Lucas,933457,93,Matematica
Amanda,825432,40,Direito
Ana,726258,66,Quimica
Lucia,127963,69,Engenharia
Clara,287175,24,Medicina
Lara,714127,47,Engenharia
Luisa,752698,23,Administracao
Joao,913070,97,Odontologia
Joao,428129,77,Direito
Marcia,368461,10,Direito
Clara,929949,69,Administracao
Rodrigo,488794,36,Letras
Lucas,301545,63,Letras
Zeca,827477,93,Odontologia
Luisa,211677,94,Computacao
Tiago,295950,68,Engenharia
Zeca,953778,20,Odontologia
Pedro,183800,63,Direito
Marcia,957186,55,Fisica
Luisa,832884,67,Fisica
Clara,519952,66,Matematica
Flora,911820,99,Fisica
Tiago,324607,70,Computacao
Luisa,752502,80,Administracao
Luisa,591568,10,Engenharia
Marcos,599738,95,Medicina
Rodrigo,449873,91,Matematica
Jose,649862,74,Direito
Rodrigo,726135,41,Matematica
Clara,770690,34,Odontologia
Amanda,311882,72,Matematica
Zeca,942298,72,Matematica
Clara,365054,92,Computacao
Maria,389753,37,Quimica
Joao,413340,47,Fisica
Marcos,134325,43,Administracao
Tiago,764559,19,Letras
Flora,683002,30,Letras
Celia,954544,35,Direito
Jose,408899,54,Fisica
Marcia,620572,39,Computacao
Pedro,178841,45,Administracao
Lucia,995005,87,Letras
Joao,831570,18,Letras
Ana,739111,67,Engenharia
Lucia,572657,31,Quimica
Zeca,978179,79,Direito
Zeca,649909,83,Direito
Marcia,559790,74,Medicina
Lucas,782259,36,Matematica
Jose,634910,44,Administracao
Marcos,624962,13,Quimica
Clara,569916,42,Matematica
Tiago,719744,13,Computacao
Luisa,384216,97,Direito
Lara,212875,90,Odontologia
Celia,133252,37,Odontologia
Tiago,383194,38,Odontologia
Zeca,424999,43,Computacao
Marcia,256573,86,Direito
Celia,996381,20,Letras
Pedro,109921,54,Engenharia
Zeca,303436,75,Quimica
Marcos,144497,18,Matematica
Ana,262174,43,Administracao
Tiago,594369,13,Fisica
Luisa,977803,13,Medicina
Celia,276566,42,Direito
Celia,535711,68,Medicina
Rodrigo,789968,90,Fisica
Celia,478144,22,Matematica
Amanda,377917,93,Direito
Jose,477841,25,Medicina
Lara,973123,20,Quimica
Maria,537662,51,Computacao
Pedro,860693,68,Odontologia
Rodrigo,562850,30,Administracao
Rodrigo,391652,53,Medicina
Rodrigo,768336,62,Computacao
Luisa,841069,93,Letras
Lucia,819475,68,Matematica
Lara,585629,73,Odontologia
Rodrigo,452532,73,Medicina
Jose,539476,48,Engenharia
Flora,358624,79,Computacao
Rodrigo,523862,59,Direito
Clara,266073,88,Matematica
Clara,792425,93,Odontologia
Celia,840711,33,Odontologia
Tiago,136302,29,Computacao
Marcia,406767,33,Fisica
Amanda,830378,90,Letras
Julia,532429,99,Fisica
Julia,290431,16,Engenharia
Marcos,333491,87,Quimica
Maria,749001,49,Direito
Pedro,825994,74,Fisica
Amanda,581207,13,Medicina
Clara,754881,82,Administracao
Luisa,702134,79,Computacao
Tiago,568975,59,Letras
Clara,543739,78,Medicina
Lucas,444319,70,Letras
Lucia,910209,98,Administracao
Marcia,650186,84,Direito
Luis,206844,11,Engenharia
Joao,684028,95,Direito
Rodrigo,983734,97,Engenharia
Ana,651486,77,Engenharia
Luisa,256729,40,Medicina
Celia,593832,100,Computacao
Flora,409795,90,Medicina
Rodrigo,993716,15,Quimica
Clara,764977,36,Direito
Jose,690888,68,Matematica
Lucas,102095,22,Administracao
Julia,330917,92,Fisica
Celia,801080,29,Odontologia
Lara,219092,26,Odontologia
Maria,892774,91,Quimica
Marcia,704267,24,Quimica
Pedro,414623,90,Administracao
Julia,861634,15,Direito
Lucas,796856,19,Engenharia
Ana,684849,84,Quimica
Luis,128519,58,Medicina
Ana,279523,74,Computacao
Pedro,522883,12,Fisica
Zeca,217948,14,Administracao
Lara,330759,87,Quimica
Flora,235226,13,Direito
Celia,610034,99,Administracao
Flora,306194,66,Letras
Rodrigo,188370,78,Matematica
Tiago,326990,66,Odontologia
Luis,718913,57,Odontologia
Julia,954974,39,Administracao
Zeca,419152,56,Matematica
Clara,110745,15,Administracao
Lara,616653,76,Odontologia
Luis,300528,59,Odontologia
Tiago,995424,65,Matematica
Flora,501697,31,Letras
Flora,860340,21,Quimica
Lucas,708641,97,Administracao
Luis,711469,44,Matematica
Rodrigo,799241,15,Quimica
Luis,112096,37,Odontologia
Ana,548052,47,Computacao
Julia,703570,90,Odontologia
Luisa,473089,96,Direito
Jose,348645,82,Quimica
Celia,847164,98,Engenharia
Zeca,907451,76,Computacao
Tiago,912970,38,Administracao
Pedro,264172,21,Direito
Zeca,903142,97,Odontologia
Julia,695075,37,Medicina
Lucas,711007,98,Engenharia
Zeca,156634,17,Fisica
Lucia,244113,35,Computacao
Maria,720938,32,Odontologia
Lucas,329453,19,Engenharia
Rodrigo,938519,90,Quimica
Amanda,316583,30,Direito
Luis,326131,42,Medicina
Amanda,584116,33,Administracao
Julia,477295,16,Engenharia
Lucia,845672,36,Medicina
Rodrigo,333086,31,Letras
Clara,877902,26,Fisica
Flora,179136,14,Matematica
Luisa,915431,90,Odontologia
Marcia,722494,25,Computacao
Flora,641517,91,Computacao
Lucia,185564,21,Engenharia
Lucas,127047,12,Odontologia
Luis,201898,66,Administracao
Jose,735395,57,Fisica
Celia,744485,48,Medicina
Lucas,397603,92,Fisica
Lucas,476838,79,Computacao
Lara,313528,86,Fisica
Zeca,839554,32,Matematica
Amanda,975210,89,Fisica
Rodrigo,320520,16,Odontologia
Julia,857517,96,Letras
Jose,873822,15,Computacao
Marcia,615169,80,Engenharia
Joao,193892,37,Letras
Tiago,293223,22,Medicina
Zeca,395997,45,Odontologia
Luisa,251622,20,Engenharia
Amanda,291286,33,Direito
Luis,330549,94,Administracao
Celia,389816,66,Matematica
Julia,713632,79,Quimica
Joao,505511,69,Administracao
Clara,395507,87,Fisica
Ana,691592,100,Medicina
Celia,379187,46,Engenharia
Lucia,345773,73,Letras
Jose,152679,100,Odontologia
Joao,698684,72,Medicina
Pedro,963148,83,Matematica
Flora,179289,84,Administracao
Rodrigo,121612,50,Matematica
Luisa,615394,81,Medicina
Tiago,797626,75,Fisica
Ana,639430,81,Matematica
Pedro,851505,85,Letras
Celia,939708,96,Matematica
Marcos,499288,67,Computacao
Luis,756890,38,Letras
Jose,689044,29,Matematica
Lucia,440321,85,Matematica
Julia,174133,65,Letras
Lucia,140223,42,Fisica
Flora,790272,52,Odontologia
Marcos,176247,80,Quimica
Flora,584609,48,Letras
Marcos,916727,92,Direito
Tiago,369590,35,Letras
Marcos,166922,42,Computacao
Celia,255807,50,Odontologia
Joao,967702,81,Odontologia
Flora,129037,33,Computacao
Luisa,287903,39,Matematica
Marcia,376713,89,Quimica
Clara,916933,43,Administracao
Julia,320994,39,Direito
Jose,274998,99,Medicina
Clara,724481,64,Quimica
Clara,107082,38,Engenharia
Jose,565736,43,Letras
Zeca,499672,73,Fisica
Amanda,313760,52,Engenharia
Lucia,992999,49,Quimica
Lucas,713534,58,Direito
Lucia,158253,98,Fisica
Maria,435180,21,Letras
Jose,198644,79,Computacao
Celia,217141,84,Engenharia
Flora,337444,67,Matematica
Clara,583934,41,Administracao
Clara,648964,36,Fisica
Zeca,216391,50,Computacao
Flora,642230,18,Fisica
Joao,934104,99,Computacao
Luis,633521,56,Engenharia
Lara,939354,40,Engenharia
Jose,234967,68,Direito
Pedro,544479,90,Administracao
Lara,477492,56,Engenharia
Ana,172228,42,Quimica
Flora,518192,33,Fisica
Zeca,469741,69,Administracao
Luis,383232,38,Quimica
Luis,599849,47,Engenharia
Joao,950078,17,Computacao
Marcia,518190,80,Medicina
Amanda,889849,44,Direito
Ana,690896,95,Letras
Lucia,155165,82,Administracao
Marcia,120080,36,Quimica
Flora,676981,16,Computacao
Lucas,841209,74,Medicina
Joao,130562,36,Administracao
Amanda,206287,24,Letras
Marcia,841359,46,Odontologia
Joao,517240,93,Administracao
Lucas,350646,19,Fisica
Ana,661443,33,Quimica
Lara,961125,59,Medicina
Amanda,813595,14,Matematica
Marcia,968684,77,Odontologia
Joao,331606,87,Letras
Joao,636153,22,Engenharia
Celia,560259,72,Quimica
Ana,648724,75,Letras
Celia,473234,53,Letras
Jose,190049,100,Matematica
Joao,178618,78,Administracao
Luisa,230707,83,Direito
Joao,174387,49,Fisica
Luis,429410,60,Computacao
Jose,455314,74,Matematica
Luis,131196,11,Matematica
Pedro,981851,63,Quimica
Clara,458267,90,Direito
Ana,371144,52,Matematica
Lara,613441,12,Computacao
Amanda,527769,93,Engenharia
Lara,960454,78,Odontologia
Tiago,357193,91,Direito
Julia,432651,37,Direito
Ana,106324,60,Medicina
Celia,942899,86,Fisica
Julia,333513,44,Administracao
Clara,538042,34,Quimica
Marcia,175958,24,Medicina
Joao,722647,70,Matematica
Amanda,137603,80,Odontologia
Luis,206407,30,Fisica
Marcos,297919,69,Administracao
Marcos,443797,40,Medicina
Pedro,804490,39,Quimica
Tiago,992706,65,Computacao
Marcia,487857,75,Medicina
Julia,330322,98,Engenharia
Marcia,956800,67,Fisica
Luis,779580,74,Medicina
Celia,472698,39,Direito
Lara,655625,93,Engenharia
Lara,614869,56,Medicina
Zeca,704404,66,Computacao
Amanda,175117,81,Fisica
Celia,672614,72,Direito
Amanda,285578,71,Medicina
Ana,962121,18,Odontologia
Rodrigo,904493,23,Administracao
Julia,390659,68,Direito
Flora,385583,51,Odontologia
Clara,706805,15,Odontologia
Maria,319741,61,Engenharia
Clara,566321,68,Computacao
Tiago,858642,41,Fisica
Luisa,143726,16,Engenharia
Luisa,992483,55,Odontologia
Celia,150266,50,Fisica
Marcos,380737,96,Matematica
Clara,531645,56,Fisica
Lara,918650,60,Medicina
Clara,251537,22,Matematica
Flora,930693,34,Medicina
Rodrigo,902350,85,Computacao
Amanda,436343,55,Fisica
Jose,529400,62,Fisica
Jose,383110,80,Matematica
Rodrigo,654413,97,Quimica
Tiago,881332,59,Engenharia
Rodrigo,615510,81,Engenharia
Luisa,264998,71,Matematica
Pedro,714833,86,Administracao
Celia,150175,91,Engenharia
Luis,760168,18,Matematica
Celia,763483,35,Matematica
Lara,867154,47,Administracao
Marcos,615622,52,Matematica
Zeca,897320,33,Letras
Clara,354734,58,Odontologia
Joao,943737,13,Letras
Flora,855106,19,Engenharia
Marcia,987190,13,Engenharia
Tiago,118440,53,Engenharia
Rodrigo,640974,72,Administracao
Pedro,429019,84,Fisica
Rodrigo,100296,36,Fisica
Marcos,723560,93,Computacao
Marcia,639292,67,Matematica
Luisa,479236,47,Engenharia
Lucia,424248,26,Quimica
Lucia,188847,18,Computacao
Joao,580655,97,Odontologia
Luisa,592682,41,Computacao
Rodrigo,500699,68,Engenharia
Luisa,525315,56,Medicina
Clara,937584,28,Computacao
Celia,724180,44,Computacao
Jose,676125,87,Quimica
Rodrigo,384355,62,Fisica
Jose,576674,64,Administracao
Marcia,774527,70,Medicina
Ana,705274,16,Fisica
Marcos,447309,84,Matematica
Julia,716984,31,Fisica
Marcia,339249,90,Administracao
Marcos,122582,98,Direito
Celia,114008,32,Administracao
Joao,737556,47,Computacao
Marcos,140753,58,Engenharia
Marcos,955569,88,Letras
Joao,131040,34,Matematica
Ana,110562,85,Medicina
Tiago,368569,14,Administracao
Marcia,613377,10,Computacao
Pedro,390233,78,Direito
Pedro,386872,50,Matematica
Rodrigo,893102,10,Fisica
Jose,333644,18,Medicina
Rodrigo,955770,20,Medicina
Ana,759191,64,Direito
Lucia,397742,31,Letras
Luis,102678,73,Medicina
Lucia,622348,67,Matematica
Marcia,444249,48,Engenharia
Marcos,569012,52,Matematica
Zeca,302009,89,Quimica
Marcos,943560,48,Medicina
Joao,812460,54,Direito
Julia,846238,25,Matematica
Lara,583152,22,Quimica
Luisa,559151,79,Letras
Marcia,406579,86,Odontologia
Marcia,914120,31,Direito
Tiago,241709,68,Direito
Maria,830150,47,Fisica
Julia,630298,16,Letras
Lara,351408,34,Medicina
Zeca,944306,78,Medicina
Celia,626442,51,Direito
Pedro,590420,48,Fisica
Joao,504185,91,Odontologia
Lucas,757427,53,Odontologia
Ana,867013,14,Computacao
Lara,566274,61,Matematica
Rodrigo,837469,89,Matematica
Luis,453387,72,Computacao
Lucas,468631,42,Matematica
Lara,539752,90,Administracao
Pedro,340058,83,Engenharia
Julia,940887,34,Odontologia
Lucas,484996,96,Direito
Joao,899910,24,Matematica
Celia,141807,42,Computacao
Julia,588631,88,Fisica
Luisa,199154,21,Quimica
Luisa,219674,29,Medicina
Pedro,777452,63,Engenharia
Luis,251347,95,Quimica
Luis,432028,76,Matematica
Lucia,285158,99,Administracao
Maria,245226,37,Medicina
Marcos,157812,48,Administracao
Marcia,937952,62,Direito
Clara,399236,52,Medicina
Julia,354034,50,Medicina
Jose,966586,33,Direito
Lara,100277,52,Computacao
Pedro,246634,52,Odontologia
Amanda,151268,68,Engenharia
Flora,240325,66,Letras
Celia,757840,40,Direito
Marcos,408341,45,Odontologia
Jose,938479,59,Administracao
